league,source,home_team,away_team,over_1_5,over_2_5,over_3_5,home_over_1_5,away_over_1_5,xg,home_h2h,draw_h2h,away_h2h,score,g_h,g_a,total_goals,r_1_5,r_2_5,r_home_1_5,r_away_1_5,win
MLS W,fbxg,Current,Royals,0.997095483967356,0.981426225629447,0.937022269529038,0.975649029787052,0.2372470497837993,8.938271604938272,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
MLS W,fbxg,Angel City,Reign,0.8484984178165549,0.565105245893047,0.2854555167599358,0.3608583824413773,0.3195643310348757,4.125,0.0,0.0,0.0,2–3,2,3,5,1.0,1.0,1.0,1.0,A
Peru,fbxg_n,Unión Comercio,Atlético Grau,0.7058594441770498,0.3655414153887804,0.1392924600207861,0.2303662060627115,0.1756357509128338,3.0902777777777777,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Peru,fbxg_n,Melgar,Comerciantes Unidos,0.9774755214651868,0.9122280141580386,0.7931155026549678,0.9076826085687564,0.0492367203926863,6.25,0.0,0.0,0.0,3–0,3,0,3,1.0,1.0,1.0,0.0,H
Peru,fbxg_n,UTC,Cienciano,0.8950609269828526,0.6670673833868526,0.4015052666860792,0.5728211023929579,0.2206248518403896,4.597633136094675,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Peru,fbxg_n,Deportivo Garcilaso,Asociación Deportiva Tarma,0.8177136542994446,0.5159542897726073,0.2459733144516784,0.358510664552452,0.2454345170217233,3.840236686390533,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Peru,fbxg_n,U César Vallejo,Unión Comercio,0.830729552533323,0.5854139316643474,0.3484396232874562,0.5674663227502426,0.041494130649488,3.715976331360947,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Peru,fbxg_n,Cusco,Comerciantes Unidos,0.9552479708347228,0.8487249629635012,0.6842842690900792,0.8423388278550887,0.0405054397448138,5.397435897435897,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Peru,fbxg_n,Sport Boys,Atlético Grau,0.6037144106167023,0.2808172346826039,0.102454848992693,0.2441311331868731,0.0485350079973602,2.5128205128205128,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Peru,fbxg_n,Sport Huancayo,Sporting Cristal,0.8271211955558233,0.5317855931820301,0.2598361521302392,0.3807747720843832,0.2438705890681596,3.91715976331361,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
